ot;periodo;serviciousuariots;paradero;punto;toc;varianza;n;fecha;IC
OT23;2;H03R;L-26-19-PO-10;0;13.0;41.2923;1;2019-08-28;12.594780652317848
OT23;3;106R;T-31-254-SN-40;0;21.0;107.16163329999999;1;2019-08-29;20.289705036921557
OT23;3;107R;T-21-89-OP-5;0;21.0;107.16163329999999;1;2019-08-28;20.289705036921557
OT23;3;109R;T-20-176-SN-40;0;14.0;64.8675;1;2019-09-03;15.785911060182748
OT23;3;117R;T-3-19-NS-45;0;14.0;62.1075;1;2019-09-06;15.446429101899247
OT23;3;201ER;T-20-188-SN-60;0;18.5;187.2355333;2;2019-09-02;18.964229812007655
OT23;3;217EI;T-20-188-SN-60;0;21.0;104.5480333;1;2019-09-02;20.04075160080779
OT23;3;223R;T-25-228-SN-35;0;0.0;0.0;1;2019-08-28;0.0
OT23;3;226R;T-25-228-SN-35;0;14.0;62.1075;1;2019-08-28;15.446429101899247
OT23;3;230R;T-3-10-SN-3;0;16.0;82.6875;1;2019-09-10;17.822802809883747
OT23;3;301R;T-25-228-SN-35;0;15.0;67.6875;1;2019-08-28;16.125393018466248
OT23;3;302R;T-20-188-SN-60;0;11.25;216.09;4;2019-09-02;14.405999999999999
OT23;3;403R;T-20-188-SN-60;0;19.142857142857142;426.16249993;7;2019-09-02;15.293069670984435
OT23;3;506I;T-7-48-PO-15;0;42.0;38.127675;1;2019-10-03;12.102531812806772
OT23;3;506VI;T-7-48-PO-15;0;42.0;38.127675;1;2019-10-03;12.102531812806772
OT23;3;507R;T-20-176-SN-40;0;15.0;72.03;1;2019-09-03;16.634615955891498
OT23;3;509I;T-13-93-PO-15;0;15.0;72.03;1;2019-10-01;16.634615955891498
OT23;3;E17I;L-33-12-NS-25;0;15.0;69.12;1;2019-10-18;16.295133997607998
OT23;3;F06R;L-34-41-OP-35;0;14.0;60.75;1;2019-10-17;15.276688122757498
OT23;3;F20I;T-27-228-NS-25;0;14.0;60.75;1;2019-10-10;15.276688122757498
OT23;3;I05I;T-29-238-SN-10;0;14.0;64.8675;1;2019-10-04;15.785911060182748
OT23;3;I18I;T-20-176-SN-40;0;14.0;60.75;1;2019-09-03;15.276688122757498
OT23;4;101I;E-2-9-OP-55;0;67.0;727.6336582700001;10;2019-09-10;16.719083293081688
OT23;4;101I;E-5-38-NS-5;0;28.875;477.31674159;8;2019-09-13;15.139600368289713
OT23;4;101I;T-13-375-NS-15;0;35.375;530.2200936700001;8;2019-10-02;15.95655630079166
OT23;4;101I;T-2-9-OP-20;0;56.9;739.03647491;10;2019-09-10;16.84957721135535
OT23;4;101I;T-2-9-OP-35;0;57.714285714285715;494.74474372;7;2019-09-12;16.477739995325088
OT23;4;101I;T-5-38-OP-20;0;44.888888888888886;717.1105582499999;9;2019-09-13;17.495561089644042
OT23;4;101I;T-7-48-OP-45;0;35.0;609.63665822;8;2019-10-03;17.109866255387384
OT23;4;101R;E-5-38-PO-30;0;55.44444444444444;685.2266936399999;9;2019-09-12;17.10219890438856
OT23;4;101R;L-12-25-SN-20;0;45.888888888888886;424.20335616;9;2019-10-02;13.45618244122693
OT23;4;101R;T-1-1-PO-15;0;41.2;687.4983831799999;10;2019-09-10;16.251442363138995
OT23;4;101R;T-5-38-PO-10;0;61.55555555555556;535.2390812099999;9;2019-09-13;15.11501995579355
OT23;4;101R;T-7-48-PO-10;0;80.5;279.08139375;6;2019-10-03;13.367367493452106
OT23;4;101R;T-7-48-PO-35;0;72.16666666666667;196.88741874999997;6;2019-10-03;11.227664552865242
OT23;4;101R;T-7-52-SN-25;0;75.66666666666667;329.49820000999995;9;2019-10-03;11.859362382890273
OT23;4;101R;T-7-52-SN-40;0;45.666666666666664;325.59518331000004;9;2019-09-25;11.788914077799703
OT23;4;102I;L-7-6-SN-10;0;4.285714285714286;135.375;7;2019-10-03;8.619385128882454
OT23;4;102I;L-7-6-SN-5;0;8.333333333333334;338.4375;9;2019-10-03;12.01915831773035
OT23;4;102I;T-21-89-PO-27;0;60.142857142857146;165.51473956;7;2019-08-28;9.530712936109659
OT23;4;102I;T-21-89-PO-35;0;31.8;95.38296874000001;5;2019-08-28;8.560644984013576
OT23;4;102I;T-28-89-PO-30;0;68.71428571428571;117.56942706000001;7;2019-08-28;8.03256506792992
OT23;4;102I;T-33-264-NS-65;0;24.333333333333332;175.16020833;3;2019-10-17;14.97659792610378
OT23;4;102I;T-33-264-NS-80;0;13.125;473.8125;8;2019-10-16;15.083923975544293
OT23;4;102I;T-34-269-NS-15;0;10.714285714285714;338.4375;7;2019-10-17;13.628444518726264
OT23;4;102I;T-34-269-NS-20;0;7.5;270.75;8;2019-10-17;11.402374752655694
OT23;4;102R;L-7-34-SN-5;0;22.166666666666668;357.69083333000003;6;2019-10-04;15.133324735609865
OT23;4;102R;T-12-90-OP-5;0;43.0;238.71124998;6;2019-10-02;12.36280131363956
OT23;4;102R;T-21-89-OP-5;0;40.0;336.95213540000003;8;2019-08-28;12.720236452954795
OT23;4;102R;T-25-89-OP-20;0;54.285714285714285;217.87854165000002;7;2019-08-28;10.934886540678875
OT23;4;102R;T-31-89-OP-30;0;62.5;216.39317704999996;10;2019-10-18;9.117543687612798
OT23;4;102R;T-34-269-SN-10;0;15.0;676.875;10;2019-10-17;16.125393018466248
OT23;4;102R;T-7-52-SN-25;0;50.0;241.8511979;7;2019-10-03;11.520761147056213
OT23;4;103I;T-18-127-NS-15;0;16.9;616.0529083299999;10;2019-08-29;15.383851444422255
OT23;4;103I;T-21-89-OP-5;0;6.0;281.6025;10;2019-08-28;10.400981511376703
OT23;4;103I;T-31-89-OP-20;0;27.166666666666668;400.35286665;12;2019-10-18;11.321055503362752
OT23;4;103R;L-21-9-PO-5;0;48.57142857142857;183.300587483;7;2019-08-28;10.029723944888532
OT23;4;103R;T-21-89-PO-27;0;26.0;709.9611249599998;12;2019-08-28;15.075882112517593
OT23;4;103R;T-31-127-SN-30;0;41.45454545454545;429.89108748000007;11;2019-08-29;12.252901703318978
OT23;4;104R;E-32-254-SN-5;0;50.09090909090909;1309.1303999100003;33;2019-08-29;12.344984681918225
OT23;4;104R;T-31-254-SN-13;0;55.90625;1327.34282074;32;2019-08-29;12.623292186661805
OT23;4;104R;T-31-254-SN-35;0;48.484848484848484;1563.84748741;33;2019-08-29;13.492620326002067
OT23;4;104R;T-34-269-SN-10;0;15.595744680851064;3153.4432999600003;47;2019-10-17;16.054606140352274
OT23;4;105I;L-29-7-NS-10;0;36.35294117647059;914.44157913;17;2019-10-04;14.375057586351781
OT23;4;105I;L-5-30-NS-10;0;19.958333333333332;1515.92699373;24;2019-09-13;15.577207092299377
OT23;4;105I;L-5-5-PO-5;0;20.25925925925926;1771.91735831;27;2019-09-13;15.878004496884987
OT23;4;105I;T-28-233-NS-20;0;36.22222222222222;1054.43813121;18;2019-10-04;15.001350911124149
OT23;4;105I;T-5-30-PO-6;0;38.72;1101.64188952;25;2019-09-13;13.010868507182801
OT23;4;105I;T-7-51-NS-10;0;47.90909090909091;972.6859207700003;22;2019-10-03;13.032599394019655
OT23;4;105I;T-8-63-NS-15;0;45.03703703703704;1276.83443743;27;2019-09-24;13.478497518793196
OT23;4;105R;E-7-51-SN-30;0;41.07692307692308;1288.73690827;26;2019-10-03;13.799124424299862
OT23;4;105R;T-29-238-SN-10;0;20.46153846153846;1730.85661664;26;2019-10-04;15.991895517711253
OT23;4;105R;T-29-238-SN-17;0;39.32;1280.8430416;25;2019-10-04;14.029236085561553
OT23;4;105R;T-5-26-SN-10;0;20.608695652173914;1473.3372666500002;23;2019-09-13;15.687120781576429
