periodo;serviciosentido;paradero;correlativo;zp;metro;subidascorregidas;bajadascorregidas;cargacorregida;toc;edit;subidasTOC;bajadasTOC;subidasTOCcorregidas;bajadasTOCcorregidas;cargaTOCcorregida
4;B01 00I;L-4-13-OP-2;1;0;0;0.95615400865751;0.131381039339623;0.8247729693178869;;False;0.0;0.0;0.95615400865751;0.131381039339623;0.824772969317887
4;B01 00I;L-4-13-OP-5;2;0;0;1.1491430320779628;0.0408009897924528;1.9331150116033968;;False;0.0;0.0;1.1491430320779628;0.0408009897924528;1.9331150116033973
4;B01 00I;L-4-7-OP-10;3;0;0;0.892532714010491;0.0;2.825647725613888;;False;0.0;0.0;0.892532714010491;0.0;2.825647725613888
4;B01 00I;L-4-7-OP-5;4;0;0;0.5938969840329806;0.039118121245282994;3.3804265884015856;;False;0.0;0.0;0.5938969840329806;0.039118121245282994;3.3804265884015856
4;B01 00I;T-4-16-SN-10;5;0;0;1.0192185392105662;0.0;4.399645127612152;12.6;False;0.0;0.0;1.0192185392105662;0.0;4.3996451276121515
4;B01 00I;L-4-18-OP-120;6;0;0;2.2548539031046566;0.0;6.654499030716809;;False;0.0;0.0;2.2548539031046566;0.0;6.654499030716808
4;B01 00I;L-4-18-OP-110;7;0;0;4.1311474744717005;0.0;10.78564650518851;;False;0.0;0.0;4.1311474744717005;0.0;10.78564650518851
4;B01 00I;L-4-18-OP-95;8;0;0;4.475219399310038;0.0;15.260865904498544;;False;0.0;0.0;4.475219399310038;0.0;15.260865904498548
4;B01 00I;L-4-18-OP-90;9;0;0;2.8168176423196214;0.021645725614508383;18.05603782120366;;False;0.0;0.0;2.8168176423196214;0.021645725614508383;18.05603782120366
4;B01 00I;L-4-18-OP-80;10;0;0;1.5433267042261147;0.0;19.599364525429774;;False;0.0;0.0;1.5433267042261147;0.0;19.599364525429774
4;B01 00I;L-4-18-OP-65;11;0;0;0.06640538383599995;0.0628926776415094;19.602877231624266;;False;0.0;0.0;0.06640538383599995;0.0628926776415094;19.602877231624262
4;B01 00I;L-4-18-OP-60;12;0;1;0.1549324579449055;13.076791634631649;6.681018054937521;;False;0.0;0.0;0.1549324579449055;13.076791634631649;6.681018054937519
4;B01 00I;E-4-296-OP-5;13;1;1;5.569442122360901;4.296481531949124;7.953978645349302;19.63636363636364;True;11.682384991014338;0.0;17.25182711337524;4.296481531949124;19.636363636363637
4;B01 00I;L-4-18-OP-45;14;0;0;0.025466335922433924;0.021861231031132067;7.957583750240605;;False;0.0;0.03192344830955682;0.025466335922433924;0.05378467934068888;19.608045292945377
4;B01 00I;L-4-18-OP-35;15;0;0;1.02022175927434;0.0471478228301887;8.930657686684754;;False;0.0;0.0;1.02022175927434;0.0471478228301887;20.58111922938953
4;B01 00I;L-4-18-OP-25;16;0;0;0.6329907125235843;0.2661836196582376;9.297464779550095;25.71428571;False;0.0;1.1113086555720504;0.6329907125235843;1.377492275230288;19.836617666682827
4;B01 00I;L-4-18-OP-15;17;0;0;0.8296408239058111;0.3120373878502479;9.815068215605665;;False;0.0;0.7962298197513967;0.8296408239058111;1.1082672076016447;19.557991282986993
4;B01 00I;L-4-18-OP-5;18;0;0;0.6439173075186607;0.36616150652770985;10.092824016596612;;False;0.0;0.7878336224135108;0.6439173075186607;1.1539951289412207;19.047913461564434
4;B01 00I;L-2-21-OP-85;19;0;0;0.3688349668288685;0.1797846930552147;10.281874290370265;;False;0.0;0.21760125645104678;0.3688349668288685;0.3973859495062615;19.019362478887043
4;B01 00I;L-2-21-OP-75;20;0;0;0.8426978560981129;0.5735259938493285;10.551046152619048;;False;0.0;0.5026267999693526;0.8426978560981129;1.076152793818681;18.785907541166473
4;B01 00I;L-2-21-OP-65;21;0;0;1.0192483003250945;0.32397151970369137;11.246322933240457;;False;0.0;0.4157207650478572;1.0192483003250945;0.7396922847515486;19.06546355674002
4;B01 00I;L-2-21-OP-55;22;0;0;1.3139338683133954;0.1369491440180863;12.423307657535762;;False;0.0;0.09434306022132827;1.3139338683133954;0.23129220423941457;20.148105220814003
4;B01 00I;L-2-21-OP-45;23;0;0;1.8141178728035845;0.10952091667442758;14.12790461366492;;False;0.0;0.06173350559747032;1.8141178728035845;0.1712544222718979;21.79096867134569
4;B01 00I;L-2-19-SN-5;24;0;0;0.4205535536077175;0.18389094642192685;14.364567220850713;;False;0.0;0.2193888043401458;0.4205535536077175;0.4032797507620727;21.808242474191335
4;B01 00I;L-2-8-OP-45;25;0;0;3.2711449177291856;0.5484594773285683;17.087252661251334;;False;0.0;1.2726904983094585;3.2711449177291856;1.8211499756380267;23.258237416282498
4;B01 00I;L-2-8-OP-35;26;0;0;0.6711319570322261;0.5086973190586496;17.249687299224902;;False;0.0;1.3891197567754305;0.6711319570322261;1.8978170758340802;22.03155229748064
4;B01 00I;L-2-8-OP-25;27;0;0;0.4997408814006793;0.8007539603513902;16.948674220274192;;False;0.0;0.6334642910356487;0.4997408814006793;1.434218251387039;21.097074927494276
4;B01 00I;L-2-8-OP-15;28;0;0;0.9737438918223016;2.2313484343040053;15.691069677792488;37.42857142857143;False;0.0;0.5637659860504217;0.9737438918223016;2.795114420354427;19.275704398962148
4;B01 00I;L-2-21-OP-35;29;0;0;13.452340428447073;6.613251772663357;22.530158333576203;;False;0.0;0.2602545814350924;13.452340428447073;6.87350635409845;25.854538473310768
4;B01 00I;L-2-21-OP-30;30;0;0;0.3738865414098108;0.16607249032601695;22.73797238466;;False;0.0;0.0;0.3738865414098108;0.16607249032601695;26.06235252439457
