periodo;serviciosentido;serviciousuariots;capacidad;nexpediciones;count_zp;count_metro;fmax;fmin;sum_subidaspromedio;sum_subidasevasion;sum_subidascorregidas;sum_subidascorregidas_OT14;sum_difsubidas_O18_A19;max_difsubidas_O18_A19;varporc_subidastotal;sum_cargacorregida;sum_cargacorregida_OT14;sum_difcarga_O18_A19;max_difcarga_O18_A19;varporc_cargatotal;count_TOC;in_TOC;porc_TOC;avg_IC;estado50;estado60;estado70;hay_perfil;hay_P_OCT2018;hay_P_OT03;hay_P_OT05;hay_P_OT07;hay_P_OT09
4;B01 00I;B01I;77.66037735849056;53.0;1.0;2.0;1.3243702661859558;0.7105341073550167;47.60337479922639;7.589815808951544;55.193190608177936;41.581166474464055;36.230156743569644;12.017510759863121;0.3273603241042633;406.68342603735107;364.0104497273593;111.16508453972409;8.849984215318788;0.1172300859548221;4.0;3.0;0.75;13.438083040202784;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;B01 00R;B01R;85.75;52.0;1.0;1.0;1.1971438634427964;0.7287562148257349;78.81120249444228;16.40783152326534;95.21903401770764;106.05393770777042;51.19220848335504;9.629806500647147;-0.102164086730265;844.3153166949662;1235.6059930040824;534.6089307950805;28.936828154547378;-0.31667916676074537;4.0;2.0;0.5;9.31109883656779;VALIDO;NO VALIDO;NO VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;B02 00I;B02I;86.625;56.0;0.0;1.0;1.081636582355221;0.7419952280359841;45.66567722603574;23.614546892898296;69.28022411893403;92.7809173034971;38.663737893469474;5.056633255573745;-0.25329231341494063;886.1663479733854;1265.8773605750707;445.00267971733837;22.10725854785626;-0.2999587672767825;9.0;6.0;0.6666666666666666;11.384888850227926;VALIDO;VALIDO;NO VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;B02 00R;B02R;88.43902439024393;41.0;1.0;0.0;1.2460109790881664;0.7514079082000581;37.70054986431706;15.829260819227711;53.52981068354478;58.623389100262756;21.46689694175037;2.162365855685297;-0.08688645427862418;652.2804593108639;641.8826324360642;70.45705479246031;4.617037745198623;0.016198953436920238;11.0;10.0;0.9090909090909091;13.76185626155738;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;B03 00I;B03I;97.0625;64.0;6.0;2.0;1.2583592259131904;0.8330334499061719;70.3831131679219;23.605713287641134;93.98882645556304;110.06942933819477;59.9462209905903;12.801374803817858;-0.1460950872491864;1299.9211808270613;1674.1377830185825;422.4549955255873;13.450922568336608;-0.22352795927990077;8.0;5.0;0.625;14.022091856335107;VALIDO;VALIDO;NO VALIDO;1;1.0;0.0;0.0;1.0;0.0
4;B03 00R;B03R;96.72000000000003;75.0;2.0;1.0;1.4141820557950435;0.7556103726547518;42.398484786386675;15.471084602227696;57.86956938861437;99.70992976571125;46.427764519089656;24.124469058695638;-0.4196207988051873;702.8394000473145;978.4615027667508;276.0765597510975;24.03676305011539;-0.2816892662001237;7.0;6.0;0.8571428571428571;15.108821915233255;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;1.0;0.0
4;B04 00I;B04I;49.0;36.0;0.0;0.0;1.1839758330036834;0.7840121874888083;44.35547069061113;7.4905074118638915;51.84597810247501;102.49765474744987;56.172676023710224;5.624595966619835;-0.4941740059299754;599.3734698194406;1410.2330621336405;810.8595923141997;45.64191967580021;-0.5749826848389112;4.0;2.0;0.5;9.097342057369726;VALIDO;NO VALIDO;NO VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;B04 00R;B04R;50.36111111111111;36.0;1.0;0.0;1.5001350697529752;0.7209344292432903;21.414696104472227;4.08350521164989;25.498201316122117;61.562413203339254;37.285577838747;19.97594882430881;-0.5858154352737581;306.00488210964767;749.4476705441591;443.4427884345115;25.373528901435854;-0.5916927970601822;5.0;4.0;0.8;12.199056904140404;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;B04V 00I;B04vI;49.0;39.0;1.0;2.0;1.226937009191634;0.6902505228542857;29.345945325384623;4.1768493376042555;33.52279466298888;56.67455477992067;27.57164535583326;3.341945059533912;-0.40850360813305;395.71693294460255;837.3443879544393;452.2549051988528;22.452090728733552;-0.5274143606416171;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;B04V 00R;B04vR;50.28947368421053;38.0;1.0;1.0;1.5542246230761974;0.5054926022688079;22.92999698652632;7.132954708776425;30.062951695302743;26.27090036665573;25.302490145035378;14.060731491730767;0.14434417076394013;260.3986212785038;309.33553693730414;136.16522465665153;11.292917705625504;-0.15820010899271109;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
