ot;periodo;serviciousuariots;orden_parada;paraderousuario;nombreparada;carga
P_OT03;1;401I;2.0;PI369;Avenida Portales esq. / La Galaxia;0.0
P_OT03;1;401I;3.0;PI370;La Galaxia esq. / Avenida Sur;0.0
P_OT03;1;401I;4.0;PI371;La Galaxia esq. / Nueva San Martín;0.0
P_OT03;1;401I;5.0;PI372;Av. Nueva San Martín esq. / Avenida 4 Poniente;1.0
P_OT03;1;401I;6.0;PI373;Av. Nueva San Martín esq. / Av. Las Naciones;1.0
P_OT03;1;401I;7.0;PI374;Av. Nueva San Martín esq. / Ramón Barros Luco;1.0
P_OT03;1;401I;8.0;PI375;Parada  / Boston College   Nueva Sn. Martín;1.0
P_OT03;1;401I;9.0;PI376;Av. Nueva San Martín esq. / El Olimpo;1.0
P_OT03;1;401I;10.0;PI377;Av. Nueva San Martín esq. / Carlomagno;1.0
P_OT03;1;401I;11.0;PI1674;Av. Nueva San Martín esq. / Los Diamantes;1.0
P_OT03;1;401I;12.0;PI378;Av. Nueva San Martín esq. / La Fortuna;1.0
P_OT03;1;401I;13.0;PI379;Av. Nueva San Martín esq. / Leopoldo Infante;1.0
P_OT03;1;401I;14.0;PI380;Av. Nueva San Martín esq. / Av. Los Pajaritos;1.0
P_OT03;1;401I;15.0;PI565;Avenida Los Pajaritos esq. / Cam. Melipilla;1.0
P_OT03;1;401I;16.0;PI1353;Parada 2 / Nueva O'Higgins   Pajaritos;1.0
P_OT03;1;401I;17.0;PI1351;Parada 2 / Fernando Riesco   Pajaritos;1.0
P_OT03;1;401I;18.0;PI1352;Parada 2 / Ricardo Ayala   Pajaritos;1.0
P_OT03;1;401I;19.0;PI386;Parada 1 / (M) Plaza   de Maipú;1.0
P_OT03;1;401I;20.0;PI231;Avenida Los Pajaritos esq. / Luis Gandarillas;1.0
P_OT03;1;401I;21.0;PI232;Avenida Los Pajaritos esq. / Av. Pérez Llona;1.0
P_OT03;1;401I;22.0;PI233;Avenida Los Pajaritos esq. / Alhué;1.0
P_OT03;1;401I;23.0;PI234;Parada 2 / (M) Santiago   Bueras;8.0
P_OT03;1;401I;24.0;PI235;Parada 2 / Paradero 14   Pajaritos;8.0
P_OT03;1;401I;25.0;PI236;Parada 2 / (M) Del Sol;8.0
P_OT03;1;401I;26.0;PI387;Parada 2 / Paradero 12   Pajaritos;8.0
P_OT03;1;401I;27.0;PI388;Parada  / Colegio Santa   María de Maipú;8.0
P_OT03;1;401I;28.0;PI389;Parada  / (M) Monte Tabor;9.0
P_OT03;1;401I;29.0;PI390;Parada 2 / Paradero 10   Pajaritos;9.0
P_OT03;1;401I;30.0;PI391;Parada 2 / (M) Las Parcelas;9.0
P_OT03;1;401I;31.0;PI392;Parada 2 / Paradero 8   Pajaritos;8.0
P_OT03;1;401I;32.0;PI393;Parada 2 / Paradero 7 1/2   Pajaritos;7.0
P_OT03;1;401I;33.0;PI394;Parada 2 / Paradero 7   Pajaritos;8.0
P_OT03;1;401I;34.0;PI395;Parada  / Paradero 6   Pajaritos;8.0
P_OT03;1;401I;35.0;PI396;Parada  / Paradero 5 1/2   Pajaritos;8.0
P_OT03;1;401I;36.0;PI397;Parada  / Paradero 5   Pajaritos;8.0
P_OT03;1;401I;37.0;PI398;Parada 2 / Paradero 4   Pajaritos;8.0
P_OT03;1;401I;38.0;PI1632;Alameda esq. / Pasaje El Lingue;8.0
P_OT03;1;401I;39.0;PI400;Parada 3 / (M) Las Rejas;8.0
P_OT03;1;401I;40.0;PI457;Parada 3 / (M) Ecuador;8.0
P_OT03;1;401I;41.0;PI339;Parada 3 / Concón;8.0
P_OT03;1;401I;42.0;PI401;Parada 4 / (M) San   Alberto Hurtado;13.0
P_OT03;1;401I;43.0;PI341;Parada 1 / (M) Universidad   de Santiago;22.0
P_OT03;1;401I;44.0;PI440;Parada 3 / San Borja;22.0
P_OT03;1;401I;45.0;PI1813;Parada 7 / (M) Estación Central;21.0
P_OT03;1;401I;46.0;PA657;Parada 5 / (M) Unión   Latinoamericana;21.0
P_OT03;1;401I;47.0;PA369;Parada 5 / (M) República;21.0
P_OT03;1;401I;48.0;PA370;Parada 9 / (M) Los Héroes;21.0
P_OT03;1;401I;49.0;PA338;Parada 6 / (M) La Moneda;24.0
P_OT03;1;401I;50.0;PA339;Parada 5 / (M) Universidad   de Chile;25.0
P_OT03;1;401I;51.0;PA340;Parada 9 / (M) Santa Lucía;20.0
P_OT03;1;401I;52.0;PA341;Parada 3 / (M) Universidad   Católica;20.0
P_OT03;1;401I;53.0;PA342;Parada 7 / Plaza Italia;20.0
P_OT03;1;401I;54.0;PC147;Parada 1 / Museo de   Los Tajamares;20.0
P_OT03;1;401I;55.0;PC148;Parada 1 / Parque Balmaceda;21.0
P_OT03;1;401I;56.0;PC149;Parada 1 / (M) Salvador;21.0
P_OT03;1;401I;57.0;PC150;Parada 1 / Torres de Tajamar;21.0
P_OT03;1;401I;58.0;PC151;Parada 1 / (M) Manuel Montt;21.0
P_OT03;1;401I;59.0;PC2;Parada 7 / (M) Pedro   de Valdivia;22.0
P_OT03;1;401I;60.0;PC152;Parada 3 / Guardia Vieja;23.0
P_OT03;1;401I;61.0;PC153;Parada 3 / (M) Los Leones;23.0
P_OT03;1;401I;62.0;PC154;Parada 5 / (M) Los Leones;23.0
P_OT03;1;401I;63.0;PC155;Parada 1 / (M) Tobalaba;30.0
P_OT03;1;401I;64.0;PC156;Avenida Apoquindo esq. / A. leguía Sur;29.0
P_OT03;1;401I;65.0;PC157;Parada  / Municipalidad   de Las Condes;29.0
P_OT03;1;401I;66.0;PC158;Parada  / (M) Alcántara;28.0
P_OT03;1;401I;67.0;PC159;Parada  / Cerro Navidad;28.0
P_OT03;1;401I;68.0;PC586;Parada 3 / (M) Escuela   Militar;27.0
P_OT03;1;401I;69.0;PC161;Parada  / Omnium;26.0
P_OT03;1;401I;70.0;PC162;Avenida Apoquindo esq. / Rosa O'Higgins;23.0
P_OT03;1;401I;71.0;PC163;Avenida Apoquindo esq. / La Capitanía;23.0
P_OT03;1;401I;72.0;PC164;Parada 3 / (M) Manquehue;22.0
P_OT03;1;401I;73.0;PC165;Avenida Apoquindo esq. / E. Dell'Orto;22.0
P_OT03;1;401I;74.0;PC166;Parada  / Estadio Italiano;22.0
P_OT03;1;401I;75.0;PC167;Parada  / (M) Hernando   de Magallanes;20.0
P_OT03;1;401I;76.0;PC1062;Avenida Tomás Moro esq. / Volcán Tupungato;20.0
P_OT03;1;401I;77.0;PC123;Avenida Tomás Moro esq. / Imperial;20.0
P_OT03;1;401I;78.0;PC124;Avenida Tomás Moro esq. / Monroe;20.0
P_OT03;1;401I;79.0;PC125;Avenida Tomás Moro esq. / Nicosia;20.0
P_OT03;1;401I;80.0;PC1080;Florencio Barrios esq. / Alejandro Fleming;20.0
P_OT03;1;401I;81.0;PC442;Parada  / Clínica   Cordillera;19.0
P_OT03;1;401I;82.0;PC445;Alejandro Fleming esq. / Fuenteovejuna;19.0
P_OT03;1;401I;83.0;PC446;Alejandro Fleming esq. / Ayquina;19.0
P_OT03;1;401I;84.0;PC447;Alejandro Fleming esq. / Av. Padre A. Hurtado;19.0
P_OT03;1;401I;85.0;PC448;Alejandro Fleming esq. / Las Tres Marías;19.0
P_OT03;1;401I;86.0;PC449;Alejandro Fleming esq. / Capella;19.0
P_OT03;1;401I;87.0;PC450;Alejandro Fleming esq. / Santa Zita;17.0
P_OT03;1;401I;88.0;PC451;Alejandro Fleming esq. / Vital Apoquindo;16.0
P_OT03;1;401I;89.0;PC476;Vital Apoquindo esq. / Av. Paul Harris;15.0
P_OT03;1;401I;90.0;PC1057;Avenida Paul Harris esq. / Pasaje Rosita;15.0
P_OT03;1;401I;91.0;PC309;Avenida Paul Harris esq. / La Escuela;15.0
P_OT03;1;401I;92.0;PC310;Avenida Paul Harris esq. / La Quebrada;15.0
P_OT03;1;401I;93.0;PC306;La Quebrada esq. / Avenida La Paz;15.0
P_OT03;1;401I;94.0;PC1059;Parada 1 / Hospital Dipreca;15.0
P_OT03;1;401I;95.0;PC308;Vital Apoquindo esq. / Marisol;15.0
P_OT03;1;401I;96.0;PC452;Vital Apoquindo esq. / Alejandro Fleming;15.0
P_OT03;1;401I;97.0;PC666;Vital Apoquindo esq. / Vía Láctea;15.0
P_OT03;1;401I;98.0;PC667;Vital Apoquindo esq. / Av. Francisco Bilbao;15.0
P_OT03;1;401R;1.0;PC1223;Vital Apoquindo esq. / Lucaro;1.0
P_OT03;1;401R;2.0;PC1093;Vital Apoquindo esq. / Marisol;1.0
P_OT03;1;401R;3.0;PC477;Parada 2 / Hospital Dipreca;1.0
P_OT03;1;401R;4.0;PC478;La Quebrada esq. / La Escuela;1.0
P_OT03;1;401R;5.0;PC479;Avenida Paul Harris esq. / Pozo almonte;1.0
P_OT03;1;401R;6.0;PC480;Avenida Paul Harris esq. / Patricia;1.0
P_OT03;1;401R;7.0;PC481;Avenida Paul Harris esq. / Punitaqui;1.0
P_OT03;1;401R;8.0;PC1058;Santa Zita esq. / Alejandro Fleming;1.0
P_OT03;1;401R;9.0;PC1046;Alejandro Fleming esq. / Totoralillo;1.0
P_OT03;1;401R;10.0;PC455;Alejandro Fleming esq. / Av. Padre A. Hurtado;1.0
P_OT03;1;401R;11.0;PC1045;Alejandro Fleming esq. / Visviri;1.0
P_OT03;1;401R;12.0;PC456;Alejandro Fleming esq. / Alhué;1.0
P_OT03;1;401R;13.0;PC457;Alejandro Fleming esq. / Cuarto Centenario;1.0
P_OT03;1;401R;14.0;PC458;Parada  / Clínica   Cordillera;1.0
P_OT03;1;401R;15.0;PC1137;Alejandro Fleming esq. / Florencio Barrios;1.0
P_OT03;1;401R;16.0;PC131;Avenida Tomás Moro esq. / A. de Camargo;1.0
P_OT03;1;401R;17.0;PC132;Avenida Tomás Moro esq. / Nicosia;1.0
P_OT03;1;401R;18.0;PC133;Avenida Tomás Moro esq. / Monroe;1.0
P_OT03;1;401R;19.0;PC134;Avenida Tomás Moro esq. / Imperial;1.0
P_OT03;1;401R;20.0;PC135;Avenida Tomás Moro esq. / Tomás Moro Int.;1.0
P_OT03;1;401R;21.0;PC136;Parada 4 / INACAP   Apoquindo;1.0
P_OT03;1;401R;22.0;PC1105;Avenida Apoquindo esq. / Padre Errázuriz;1.0
P_OT03;1;401R;23.0;PC175;Parada  / (M) Hernando   de Magallanes;1.0
P_OT03;1;401R;24.0;PC176;Parada  / Estadio Italiano;1.0
P_OT03;1;401R;25.0;PC177;Avenida Apoquindo esq. / Noruega;1.0
P_OT03;1;401R;26.0;PC178;Parada 7 / (M) Manquehue;6.0
P_OT03;1;401R;27.0;PC179;Avenida Apoquindo esq. / Badajoz;6.0
P_OT03;1;401R;28.0;PC180;Avenida Apoquindo esq. / La Gloria;6.0
P_OT03;1;401R;29.0;PC181;Parada  / Omnium;8.0
P_OT03;1;401R;30.0;PC182;Parada 9 / (M) Escuela   Militar;8.0
P_OT03;1;401R;31.0;PC183;Parada  / Cerro Navidad;11.0
P_OT03;1;401R;32.0;PC184;Parada  / (M) Alcántara;11.0
P_OT03;1;401R;33.0;PC1106;Parada  / Municipalidad   de Las Condes;11.0
P_OT03;1;401R;34.0;PC185;Avenida Apoquindo esq. / A. Leguía Norte;13.0
P_OT03;1;401R;35.0;PC186;Avenida Apoquindo esq. / El Bosque Norte;15.0
P_OT03;1;401R;36.0;PC1016;Parada 3 / (M) Tobalaba;15.0
P_OT03;1;401R;37.0;PC187;Parada 2 / Hospital   Metropolitano;17.0
P_OT03;1;401R;38.0;PC188;Parada 6 / (M) Los Leones;18.0
P_OT03;1;401R;39.0;PC189;Parada 8 / (M) Pedro   de Valdivia;17.0
P_OT03;1;401R;40.0;PC191;Parada 2 / Biblioteca de   Providencia;15.0
P_OT03;1;401R;41.0;PC192;Parada 2 / (M) Manuel Montt;16.0
P_OT03;1;401R;42.0;PC193;Parada 2 / Torres de Tajamar;16.0
P_OT03;1;401R;43.0;PC194;Parada 2 / (M) Salvador;19.0
P_OT03;1;401R;44.0;PC195;Parada 2 / Parque Balmaceda;19.0
P_OT03;1;401R;45.0;PC196;Parada 2 / Museo de   Los Tajamares;19.0
P_OT03;1;401R;46.0;PA343;Parada 10 / Plaza Italia;33.0
P_OT03;1;401R;47.0;PA41;Parada 6 / (M) Universidad   Católica;31.0
P_OT03;1;401R;48.0;PA344;Parada 12 / (M) Santa Lucía;30.0
P_OT03;1;401R;49.0;PA345;Parada 4 / (M) Universidad   de Chile;30.0
P_OT03;1;401R;50.0;PA184;Parada 4 / (M) La Moneda;22.0
P_OT03;1;401R;51.0;PA346;Parada 10 / (M) La Moneda;22.0
P_OT03;1;401R;52.0;PA347;Parada 1 / (M) Los Héroes;20.0
P_OT03;1;401R;53.0;PA348;Parada 6 / (M) República;20.0
P_OT03;1;401R;54.0;PA349;Parada 4 / (M) Unión   Latinoamericana;20.0
P_OT03;1;401R;55.0;PI403;Parada 8 / (M) Estación Central;20.0
P_OT03;1;401R;56.0;PI404;Parada 4 / (M) Universidad   de Santiago;19.0
P_OT03;1;401R;57.0;PI405;Parada 2 / (M) San   Alberto Hurtado;16.0
P_OT03;1;401R;58.0;PI471;Parada 4 / Concón;15.0
P_OT03;1;401R;59.0;PI406;Parada 4 / (M) Ecuador;14.0
P_OT03;1;401R;60.0;PJ112;Parada 7 / (M) Las Rejas;12.0
P_OT03;1;401R;61.0;PI407;Parada 1 / Paradero 4   Pajaritos;11.0
P_OT03;1;401R;62.0;PI408;Parada  / Paradero 5   Pajaritos;11.0
P_OT03;1;401R;63.0;PI409;Parada  / Paradero 5 1/2   Pajaritos;11.0
P_OT03;1;401R;64.0;PI410;Parada  / Paradero 6   Pajaritos;11.0
P_OT03;1;401R;65.0;PI411;Parada 1 / Paradero 7   Pajaritos;11.0
P_OT03;1;401R;66.0;PI412;Parada 1 / Paradero 7 1/2   Pajaritos;11.0
P_OT03;1;401R;67.0;PI413;Parada 1 / Paradero 8   Pajaritos;11.0
P_OT03;1;401R;68.0;PI414;Parada 1 / (M) Las Parcelas;11.0
P_OT03;1;401R;69.0;PI415;Parada 1 / Paradero 10   Pajaritos;9.0
P_OT03;1;401R;70.0;PI416;Parada  / (M) Monte Tabor;8.0
P_OT03;1;401R;71.0;PI417;Parada  / Colegio Santa   María de Maipú;8.0
P_OT03;1;401R;72.0;PI418;Parada 1 / Paradero 12   Pajaritos;8.0
P_OT03;1;401R;73.0;PI253;Parada 3 / (M) Del Sol;8.0
P_OT03;1;401R;74.0;PI217;Parada 1 / Paradero 14   Pajaritos;8.0
P_OT03;1;401R;75.0;PI218;Parada 1 / (M) Santiago   Bueras;7.0
P_OT03;1;401R;76.0;PI219;Avenida Los Pajaritos esq. / Centenario;6.0
P_OT03;1;401R;77.0;PI220;Avenida Los Pajaritos esq. / Avenida Chile;6.0
P_OT03;1;401R;78.0;PI221;Avenida Los Pajaritos esq. / Maipú;6.0
P_OT03;1;401R;79.0;PI419;Parada 10 / (M) Plaza   de Maipú;6.0
P_OT03;1;401R;80.0;PI420;Parada 1 / Ricardo Ayala   Pajaritos;6.0
P_OT03;1;401R;81.0;PI422;Parada 1 / Fernando Riesco   Pajaritos;5.0
P_OT03;1;401R;82.0;PI423;Parada 1 / Vicente Reyes   Pajaritos;4.0
P_OT03;1;401R;83.0;PI424;Nueva O´Higgins esq. / Los Manzanos;4.0
P_OT03;1;401R;84.0;PI425;Nueva O´Higgins esq. / Santa Elena;4.0
P_OT03;1;401R;85.0;PI426;Santa Elena esq. / Nueva San Martín;4.0
P_OT03;1;401R;86.0;PI427;Av. Nueva San Martín esq. / La Fortuna;4.0
P_OT03;1;401R;87.0;PI1673;Av. Nueva San Martín esq. / Av. Padre A. Hurtado;4.0
P_OT03;1;401R;88.0;PI428;Av. Nueva San Martín esq. / Río Eufrates;4.0
P_OT03;1;401R;89.0;PI429;Av. Nueva San Martín esq. / El Olimpo;4.0
P_OT03;1;401R;90.0;PI430;Parada  / Boston College   Nueva Sn. Martín;4.0
P_OT03;1;401R;91.0;PI431;Av. Nueva San Martín esq. / Univ. Católica;3.0
P_OT03;1;401R;92.0;PI432;Av. Nueva San Martín esq. / Av. Las Naciones;3.0
P_OT03;1;401R;93.0;PI433;Av. Nueva San Martín esq. / Avenida 4 Poniente;3.0
P_OT03;1;401R;94.0;PI434;Av. Nueva San Martín esq. / Av. El Conquistador;3.0
P_OT03;1;401R;95.0;PI435;Av. El Conquistador esq. / Avenida Sur;3.0
P_OT03;1;401R;96.0;PI436;Av. El Conquistador esq. / Avenida Portales;3.0
P_OT03;4;113eI;1.0;PI1599;Parada 3 / Colegio Los Alpes;16.6
P_OT03;4;113eI;2.0;PI265;Central Oriente esq. / Lago Albano;19.6
P_OT03;4;113eI;3.0;PI266;Central Oriente esq. / Lago de Lugano;24.0
P_OT03;4;113eI;4.0;PI267;Central Oriente esq. / Castelgandolfo;26.8
P_OT03;4;113eI;5.0;PI268;Central Oriente esq. / Lago Bolsena;31.0
P_OT03;4;113eI;6.0;PI269;Central Oriente esq. / Lago de Como;33.4
P_OT03;4;113eI;7.0;PI270;Central Oriente esq. / Caletera Melipilla;38.2
P_OT03;4;113eI;8.0;PI273;Camino a Melipilla esq. / Egipto;44.2
P_OT03;4;113eI;9.0;PI274;Camino a Melipilla esq. / Jacques Cousteau;47.8
P_OT03;4;113eI;10.0;PI356;Parada  / Mall Plaza Oeste;44.2
P_OT03;4;113eI;11.0;PA675;Parada 13 / (M) Los Héroes;1.2
P_OT03;4;118I;1.0;PI528;René Olivares esq. / Los Olivares;0.6666666666666666
P_OT03;4;118I;2.0;PI529;René Olivares esq. / Avenida 4 Poniente;6.666666666666667
P_OT03;4;118I;3.0;PI1350;Avenida 4 Poniente esq. / Pdte. J.M Balmaceda;10.666666666666666
P_OT03;4;118I;4.0;PI89;Avenida 4 Poniente esq. / Av. González Videla;16.666666666666668
P_OT03;4;118I;5.0;PI90;Pdte. G. Videla esq. / Cerro Blanco;21.666666666666668
P_OT03;4;118I;6.0;PI91;Pdte. G. Videla esq. / Chipana;25.0
P_OT03;4;118I;7.0;PI92;A. Silva Carvallo esq. / Pdte. J.M Balmaceda;28.0
P_OT03;4;118I;8.0;PI93;A. Silva Carvallo esq. / Avenida 3 Poniente;31.0
P_OT03;4;118I;9.0;PI94;A. Silva Carvallo esq. / Tito Mundt;34.666666666666664
P_OT03;4;118I;10.0;PI95;Avenida El Olimpo esq. / Julio Perceval;36.0
P_OT03;4;118I;11.0;PI96;Avenida El Olimpo esq. / Nueva San Martín;41.666666666666664
P_OT03;4;118I;12.0;PI97;Avenida El Olimpo esq. / Avenida Sur;42.666666666666664
P_OT03;4;118I;13.0;PI98;Avenida El Olimpo esq. / Avenida Portales;50.333333333333336
P_OT03;4;118I;14.0;PI99;Avenida El Olimpo esq. / Las Tinajas;55.0
P_OT03;4;118I;15.0;PI100;Avenida El Olimpo esq. / Avenida Grecia;56.333333333333336
P_OT03;4;118I;16.0;PI101;Parada  / Colegio Polivalente   Patricio Mekis;59.0
P_OT03;4;118I;17.0;PI1792;Parada 4 / Hospital Maipú;67.33333333333333
P_OT03;4;118I;18.0;PI102;Parada 1 / Hospital Maipú;68.0
P_OT03;4;118I;19.0;PI103;Camino a Rinconada esq. / República;67.0
P_OT03;4;118I;20.0;PI1816;Camino a Rinconada / esq.  El Carmen;66.0
P_OT03;4;118I;21.0;PI105;Parada 1 / Templo Votivo;65.0
P_OT03;4;118I;22.0;PI106;Parada 8 / (M) Plaza   de Maipú;59.0
P_OT03;4;118I;23.0;PI1367;Avenida 5 de Abril esq. / Las Terrazas;61.666666666666664
P_OT03;4;118I;24.0;PI1368;Parada 1 / Estadio   Santiago Bueras;65.0
P_OT03;4;118I;25.0;PI1369;Avenida 5 de Abril esq. / Los Estandartes;65.66666666666667
P_OT03;4;118I;26.0;PI1370;Parada 1 / Portal Maipú;67.0
P_OT03;4;118I;27.0;PI112;Av. Esquina Blanca esq. / Avenida Las Torres;67.33333333333333
P_OT03;4;118I;28.0;PI114;Av. Esquina Blanca esq. / Los Tilos;65.66666666666667
P_OT03;4;118I;29.0;PI115;Parada  / Plaza Zaror;64.33333333333333
P_OT03;4;118I;30.0;PI116;Parada 1 / Liceo Maipú;67.66666666666667
P_OT03;4;118I;31.0;PI355;Av. Américo Vespucio esq. / Camino A Lonquén;68.0
P_OT03;4;118I;32.0;PI356;Parada  / Mall Plaza Oeste;70.0
P_OT03;4;118I;33.0;PI357;Parada  / Lider - Oeste;70.0
P_OT03;4;118I;34.0;PH283;Av. Américo Vespucio esq. / Valenzuela Llanos;71.0
P_OT03;4;118I;35.0;PH284;Av. Américo Vespucio esq. / Avenida Central;82.0
P_OT03;4;118I;36.0;PH285;Av. Américo Vespucio esq. / Casa Grande;84.33333333333333
P_OT03;4;118I;37.0;PH286;Av. Américo Vespucio esq. / Astaburuaga;87.0
P_OT03;4;118I;38.0;PH287;Parada 1 / Cementerio   Metropolitano;85.66666666666667
P_OT03;4;118I;39.0;PG389;Av. Américo Vespucio esq. / La Vendimia;85.33333333333333
P_OT03;4;118I;40.0;PG391;Parada  / Fundación Integra;84.0
P_OT03;4;118I;41.0;PG264;Parada 10 / (M) La Cisterna;57.0
P_OT03;4;118I;42.0;PG212;Parada 4 / (M) La Cisterna;52.0
P_OT03;4;118I;43.0;PG213;Av. Américo Vespucio esq. / San Carlos;51.0
P_OT03;4;118I;44.0;PG214;Parada  / Complejo Educ.   Los Andes;49.333333333333336
P_OT03;4;118I;45.0;PG215;Av. Américo Vespucio esq. / Cerro Negro;48.666666666666664
P_OT03;4;118I;46.0;PG216;Av. Américo Vespucio esq. / Av. La Bandera;48.333333333333336
P_OT03;4;118I;47.0;PG217;Parada 1 / (M) San Ramón;47.0
P_OT03;4;118I;48.0;PG218;Av. Américo Vespucio esq. / P. Aguirre Cerda;47.333333333333336
P_OT03;4;118I;49.0;PG219;Parada 6 / (M) Santa Rosa;40.333333333333336
P_OT03;4;118I;50.0;PE173;Av. Américo Vespucio esq. / Tacora;40.0
P_OT03;4;118I;51.0;PE174;Av. Américo Vespucio esq. / La Serena;39.666666666666664
P_OT03;4;118I;52.0;PE175;Av. Américo Vespucio esq. / La Serena;39.333333333333336
P_OT03;4;118I;53.0;PE176;Av. Américo Vespucio esq. / Mamiña;39.333333333333336
P_OT03;4;118I;54.0;PE177;Parada 1 / (M) La Granja;37.666666666666664
P_OT03;4;118I;55.0;PE178;Av. Américo Vespucio esq. / Isla Quinchao;38.0
P_OT03;4;118I;56.0;PE179;Av. Américo Vespucio esq. / Dr. Sótero Del Rio;40.333333333333336
P_OT03;4;118I;57.0;PE180;Av. Américo Vespucio esq. / Cancha Rayada;40.0
P_OT03;4;118I;58.0;PE181;Parada  / Colegio   José A. Lecaros;39.0
P_OT03;4;118I;59.0;PE182;Av. Américo Vespucio esq. / Gerónimo de Alderete;38.666666666666664
P_OT03;4;118I;60.0;PE183;Av. Américo Vespucio esq. / Las Acacias;38.333333333333336
P_OT03;4;118I;61.0;PE193;Parada 7 / (M) Bellavista   de La Florida;29.0
P_OT03;4;118I;62.0;PE184;Parada 4 / (M) Bellavista   de La Florida;27.0
P_OT03;4;118I;63.0;PE1333;Froilán Roa esq. / Froilán Roa;26.666666666666668
P_OT03;4;118I;64.0;PE1332;Froilán Roa esq. / Mirador Azul;26.666666666666668
P_OT03;4;118I;65.0;PE1334;Froilán Roa esq. / Av. Departamental;26.666666666666668
P_OT03;4;118I;66.0;PE4;Av. Departamental esq. / Nueva 1;26.666666666666668
P_OT03;4;118I;67.0;PE5;Av. Departamental esq. / Av. A. Vespucio;26.666666666666668
P_OT03;4;118I;68.0;PE1410;Parada  / Estación de Buses   (M) Macul -Poniente;25.333333333333332
P_OT03;4;118I;69.0;PE1411;Av. Departamental esq. / Calle A;25.333333333333332
P_OT03;4;118I;70.0;PE35;Av. Departamental esq. / Los Retamos;25.333333333333332
P_OT03;4;118I;71.0;PE1412;Av. Departamental esq. / Diag. Los Castaños;25.333333333333332
P_OT03;4;118I;72.0;PE43;Diag. los Castaños esq. / Los Castaños;25.333333333333332
P_OT03;4;118I;73.0;PE840;Diag. los Castaños esq. / Los Cerezos;25.333333333333332
P_OT03;4;118I;74.0;PE44;Las Higueras esq. / Punitaqui;25.0
P_OT03;4;118I;75.0;PE45;Las Higueras esq. / Volcán Llaima;25.0
P_OT03;4;118I;76.0;PE46;Las Higueras esq. / V. Hornopirén;25.0
P_OT03;4;118I;77.0;PE47;Las Higueras esq. / Volcán Calbuco;25.0
P_OT03;4;118I;78.0;PE48;Las Higueras esq. / Volcán Lastarria;25.0
P_OT03;4;118I;79.0;PE1300;Las Higueras esq. / V. Puntiagudo;25.0
P_OT03;4;118I;80.0;PE50;Las Higueras esq. / Volcán Huesqui;25.0
P_OT03;4;118I;81.0;PE51;Las Higueras esq. / Avenida Tobalaba;25.0
P_OT03;4;118I;82.0;PE38;Avenida Tobalaba esq. / Volcán Osorno;25.0
P_OT03;4;118I;83.0;PE40;Parada 1 / Terminal   María Angélica;25.0
P_OT03;4;118R;1.0;PE42;Parada 2 / Terminal   María Angélica;0.6666666666666666
P_OT03;4;118R;2.0;PE52;Las Higueras esq. / Pasaje Providencia;1.6666666666666667
P_OT03;4;118R;3.0;PE53;Las Higueras esq. / Volcán Huesqui;2.6666666666666665
P_OT03;4;118R;4.0;PE54;Las Higueras esq. / Las Taguas;3.6666666666666665
P_OT03;4;118R;5.0;PE55;Las Higueras esq. / Volcán Lastarria;5.166666666666667
P_OT03;4;118R;6.0;PE1265;Las Higueras esq. / Volcán Calbuco;5.833333333333333
P_OT03;4;118R;7.0;PE57;Las Higueras esq. / V. Hornopirén;7.166666666666667
P_OT03;4;118R;8.0;PE58;Las Higueras esq. / Volcán Llaima;9.166666666666666
P_OT03;4;118R;9.0;PE59;Las Higueras esq. / Volcán Tolhuaca;12.0
P_OT03;4;118R;10.0;PE60;Las Higueras esq. / Punitaqui;15.333333333333334
P_OT03;4;118R;11.0;PE841;Diag. los Castaños esq. / Los Castaños;15.666666666666666
P_OT03;4;118R;12.0;PE61;Diag. los Castaños esq. / Av. Departamental;15.166666666666666
P_OT03;4;118R;13.0;PE62;Diag. los Castaños esq. / Av. Departamental;15.333333333333334
P_OT03;4;118R;14.0;PD146;Av. Departamental esq. / Embalse La Palma;14.666666666666666
P_OT03;4;118R;16.0;PE158;Parada  / Colegio   José A. Lecaros;10.0
P_OT03;4;118R;17.0;PE159;Parada  / Fiscalía   La Florida;10.0
P_OT03;4;118R;18.0;PE1296;Parada 1 / (M) Vicuña   Mackenna;11.166666666666666
P_OT03;4;118R;19.0;PE160;Parada 3 / (M) Bellavista   de La Florida;15.333333333333334
P_OT03;4;118R;20.0;PE161;Av. Américo Vespucio esq. / Pilcomayo;15.666666666666666
P_OT03;4;118R;21.0;PE162;Av. Américo Vespucio esq. / G. de Alderete;15.333333333333334
P_OT03;4;118R;22.0;PE163;Parada  / (M) Santa Julia;18.5
P_OT03;4;118R;23.0;PE164;Av. Américo Vespucio esq. / Luis de Valdivia;19.333333333333332
P_OT03;4;118R;24.0;PE165;Punta Arenas esq. / Av. San Gregorio;26.833333333333332
P_OT03;4;118R;25.0;PE166;Av. Américo Vespucio esq. / 7 Oriente;30.166666666666668
P_OT03;4;118R;26.0;PE167;Parada 2 / (M) La Granja;36.333333333333336
P_OT03;4;118R;27.0;PE168;Av. Américo Vespucio esq. / La Serena;36.166666666666664
P_OT03;4;118R;28.0;PE169;Av. Américo Vespucio esq. / El Tabo;38.0
P_OT03;4;118R;29.0;PE170;Av. Américo Vespucio esq. / Laguna Blanca;38.833333333333336
P_OT03;4;118R;30.0;PE171;Av. Américo Vespucio esq. / Av. Santa Rosa;48.0
